probability;nodes_number;sccs_number
0.0;1;1.0
0.01;1;1.0
0.02;1;1.0
0.03;1;1.0
0.04;1;1.0
0.05;1;1.0
0.06;1;1.0
0.07;1;1.0
0.08;1;1.0
0.09;1;1.0
0.1;1;1.0
0.11;1;1.0
0.12;1;1.0
0.13;1;1.0
0.14;1;1.0
0.15;1;1.0
0.16;1;1.0
0.17;1;1.0
0.18;1;1.0
0.19;1;1.0
0.2;1;1.0
0.21;1;1.0
0.22;1;1.0
0.23;1;1.0
0.24;1;1.0
0.25;1;1.0
0.26;1;1.0
0.27;1;1.0
0.28;1;1.0
0.29;1;1.0
0.3;1;1.0
0.31;1;1.0
0.32;1;1.0
0.33;1;1.0
0.34;1;1.0
0.35;1;1.0
0.36;1;1.0
0.37;1;1.0
0.38;1;1.0
0.39;1;1.0
0.4;1;1.0
0.41;1;1.0
0.42;1;1.0
0.43;1;1.0
0.44;1;1.0
0.45;1;1.0
0.46;1;1.0
0.47;1;1.0
0.48;1;1.0
0.49;1;1.0
0.5;1;1.0
0.51;1;1.0
0.52;1;1.0
0.53;1;1.0
0.54;1;1.0
0.55;1;1.0
0.56;1;1.0
0.57;1;1.0
0.58;1;1.0
0.59;1;1.0
0.6;1;1.0
0.61;1;1.0
0.62;1;1.0
0.63;1;1.0
0.64;1;1.0
0.65;1;1.0
0.66;1;1.0
0.67;1;1.0
0.68;1;1.0
0.69;1;1.0
0.7;1;1.0
0.71;1;1.0
0.72;1;1.0
0.73;1;1.0
0.74;1;1.0
0.75;1;1.0
0.76;1;1.0
0.77;1;1.0
0.78;1;1.0
0.79;1;1.0
0.8;1;1.0
0.81;1;1.0
0.82;1;1.0
0.83;1;1.0
0.84;1;1.0
0.85;1;1.0
0.86;1;1.0
0.87;1;1.0
0.88;1;1.0
0.89;1;1.0
0.9;1;1.0
0.91;1;1.0
0.92;1;1.0
0.93;1;1.0
0.94;1;1.0
0.95;1;1.0
0.96;1;1.0
0.97;1;1.0
0.98;1;1.0
0.99;1;1.0
0.0;2;2.0
0.01;2;2.0
0.02;2;2.0
0.03;2;2.0
0.04;2;2.0
0.05;2;2.0
0.06;2;2.0
0.07;2;2.0
0.08;2;2.0
0.09;2;1.95
0.1;2;2.0
0.11;2;2.0
0.12;2;2.0
0.13;2;2.0
0.14;2;2.0
0.15;2;2.0
0.16;2;1.95
0.17;2;2.0
0.18;2;2.0
0.19;2;1.95
0.2;2;1.95
0.21;2;2.0
0.22;2;1.95
0.23;2;1.8
0.24;2;1.95
0.25;2;1.9
0.26;2;1.9
0.27;2;2.0
0.28;2;1.95
0.29;2;1.95
0.3;2;1.95
0.31;2;1.75
0.32;2;1.9
0.33;2;2.0
0.34;2;1.8
0.35;2;2.0
0.36;2;1.85
0.37;2;1.85
0.38;2;1.95
0.39;2;1.9
0.4;2;1.6
0.41;2;1.75
0.42;2;1.75
0.43;2;1.8
0.44;2;1.7
0.45;2;1.95
0.46;2;1.85
0.47;2;1.8
0.48;2;1.85
0.49;2;1.75
0.5;2;1.8
0.51;2;1.6
0.52;2;1.65
0.53;2;1.65
0.54;2;1.85
0.55;2;1.7
0.56;2;1.8
0.57;2;1.7
0.58;2;1.65
0.59;2;1.75
0.6;2;1.65
0.61;2;1.65
0.62;2;1.65
0.63;2;1.5
0.64;2;1.5
0.65;2;1.55
0.66;2;1.6
0.67;2;1.75
0.68;2;1.55
0.69;2;1.6
0.7;2;1.55
0.71;2;1.65
0.72;2;1.5
0.73;2;1.6
0.74;2;1.4
0.75;2;1.35
0.76;2;1.3
0.77;2;1.5
0.78;2;1.35
0.79;2;1.35
0.8;2;1.25
0.81;2;1.3
0.82;2;1.3
0.83;2;1.3
0.84;2;1.2
0.85;2;1.2
0.86;2;1.4
0.87;2;1.35
0.88;2;1.05
0.89;2;1.35
0.9;2;1.25
0.91;2;1.2
0.92;2;1.1
0.93;2;1.1
0.94;2;1.1
0.95;2;1.15
0.96;2;1.05
0.97;2;1.05
0.98;2;1.05
0.99;2;1.0
0.0;3;3.0
0.01;3;3.0
0.02;3;3.0
0.03;3;3.0
0.04;3;3.0
0.05;3;2.95
0.06;3;2.9
0.07;3;3.0
0.08;3;3.0
0.09;3;3.0
0.1;3;2.95
0.11;3;2.85
0.12;3;2.95
0.13;3;3.0
0.14;3;2.95
0.15;3;2.85
0.16;3;3.0
0.17;3;2.9
0.18;3;3.0
0.19;3;3.0
0.2;3;2.9
0.21;3;2.75
0.22;3;2.85
0.23;3;2.6
0.24;3;2.75
0.25;3;2.75
0.26;3;2.8
0.27;3;2.8
0.28;3;2.65
0.29;3;2.75
0.3;3;2.45
0.31;3;2.45
0.32;3;2.7
0.33;3;2.85
0.34;3;2.4
0.35;3;2.45
0.36;3;2.65
0.37;3;2.35
0.38;3;2.3
0.39;3;2.35
0.4;3;2.55
0.41;3;2.3
0.42;3;2.25
0.43;3;2.25
0.44;3;2.4
0.45;3;2.15
0.46;3;2.3
0.47;3;2.0
